Mercury,Venus,Mars
5.80,2.60,4.90
5.81,2.60,4.90
5.83,2.60,4.91
5.88,2.61,4.90
5.93,2.62,4.91
6.00,2.64,4.92
6.09,2.64,4.93
6.19,2.67,4.94
6.30,2.69,4.96
6.42,2.71,4.97
6.55,2.73,4.99
6.70,2.75,5.01
6.85,2.79,5.02
7.01,2.83,5.04
7.18,2.86,5.07
7.34,2.89,5.10
7.53,2.93,5.12
7.70,2.96,5.15
7.89,3.02,5.18
8.08,3.06,5.21
8.26,3.10,5.24
8.45,3.15,5.27
8.64,3.20,5.30
8.83,3.25,5.35
9.02,3.30,5.38
9.20,3.35,5.42
9.39,3.40,5.46
9.57,3.46,5.50
9.76,3.51,5.55
9.95,3.57,5.58
10.12,3.63,5.63
10.29,3.69,5.67
10.45,3.74,5.73
10.62,3.81,5.77
10.78,3.86,5.83
10.93,3.92,5.87
11.08,3.99,5.93
11.23,4.06,5.97
11.37,4.11,6.03
11.51,4.18,6.09
11.63,4.24,6.14
11.76,4.31,6.19
11.86,4.37,6.26
11.98,4.45,6.30
12.09,4.51,6.36
12.18,4.58,6.41
12.27,4.64,6.48
12.35,4.72,6.54
12.43,4.78,6.60
12.50,4.85,6.67
12.55,4.92,6.73
12.62,4.99,6.78
12.67,5.07,6.84
12.71,5.13,6.91
12.74,5.20,6.98
12.76,5.27,7.04
12.79,5.33,7.11
12.80,5.41,7.17
12.80,5.49,7.24
12.79,5.55,7.30
12.79,5.63,7.37
12.77,5.70,7.44
12.75,5.77,7.51
12.70,5.84,7.58
12.66,5.91,7.65
12.62,5.98,7.71
12.57,6.06,7.78
12.50,6.12,7.86
12.43,6.20,7.93
12.36,6.28,7.99
12.27,6.34,8.06
12.18,6.41,8.13
12.07,6.48,8.20
11.97,6.55,8.28
11.86,6.63,8.35
11.75,6.70,8.42
11.63,6.76,8.50
11.49,6.84,8.56
11.36,6.91,8.64
11.22,6.99,8.71
11.08,7.05,8.79
10.94,7.13,8.86
10.77,7.19,8.93
10.61,7.27,9.00
10.45,7.34,9.07
10.28,7.42,9.15
